"Weekly","Spots","Mean","Median","Sd","Count"
1926-06-13,29,4.14285714285714,3,2.03540097839643,7
1926-06-20,27,3.85714285714286,3,2.60950643025148,7
1926-06-27,24,3.42857142857143,3,1.90237946242268,7
1926-07-04,39,5.57142857142857,7,3.20713490294909,7
1926-07-11,29,4.14285714285714,3,3.13201593379149,7
1926-07-18,32,4.57142857142857,5,2.99205296617238,7
1926-07-25,22,3.14285714285714,2,3.18478525851542,7
1926-08-01,42,6,7,2.44948974278318,7
1926-08-08,30,4.28571428571429,3,2.42997158517582,7
1926-08-15,43,6.14285714285714,7,1.86445447147161,7
1926-08-22,23,3.28571428571429,2,2.6903708365382,7
1926-08-29,28,4,5,2,7
1926-09-05,30,4.28571428571429,5,3.59231985000806,7
1926-09-12,29,4.14285714285714,3,2.54483604112141,7
1926-09-19,37,5.28571428571429,5,2.21466970556828,7
1926-09-26,41,5.85714285714286,7,2.54483604112141,7
1926-10-03,34,4.85714285714286,5,2.54483604112141,7
1926-10-10,17,2.42857142857143,2,2.69920623252731,7
1926-10-17,29,4.14285714285714,3,3.13201593379149,7
1926-10-24,24,3.42857142857143,2,2.29906813420444,7
1926-10-31,40,5.71428571428571,7,2.42997158517582,7
1926-11-07,31,4.42857142857143,5,1.98805959477601,7
1926-11-14,26,3.71428571428571,3,2.1380899352994,7
1926-11-21,48,6.85714285714286,7,1.77281052085584,7
1926-11-28,28,4,2,2.64575131106459,7
1926-12-05,34,4.85714285714286,5,3.02371578407382,7
1926-12-12,28,4,3,2.51661147842358,7
1926-12-19,33,4.71428571428571,5,2.21466970556828,7
1926-12-26,30,4.28571428571429,2,2.87020822207993,7
1927-01-02,40,5.71428571428571,5,2.1380899352994,7
1927-01-09,35,5,5,2.38047614284762,7
1927-01-16,44,6.28571428571429,7,1.70433620649269,7
1927-01-23,25,3.57142857142857,3,2.8784916685157,7
1927-01-30,38,5.42857142857143,7,2.93582145558064,7
1927-02-06,36,5.14285714285714,7,2.67261241912424,7
1927-02-13,42,6,7,2.44948974278318,7
1927-02-20,37,5.28571428571429,7,3.14718316987777,7
1927-02-27,41,5.85714285714286,7,2.67261241912424,7
1927-03-06,36,5.14285714285714,7,2.67261241912424,7
1927-03-13,36,5.14285714285714,5,2.911389784311,7
1927-03-20,30,4.28571428571429,3,3.30223589477825,7
1927-03-27,37,5.28571428571429,5,2.21466970556828,7
1927-04-03,32,4.57142857142857,3,3.10145895008263,7
1927-04-10,36,5.14285714285714,8,3.62530786869986,7
1927-04-17,23,3.28571428571429,3,3.14718316987777,7
1927-04-24,21,3,2,2.70801280154532,7
1927-05-01,25,3.57142857142857,3,2.63673679998231,7
1927-05-08,28,4,3,3.1091263510296,7
1927-05-15,23,3.28571428571429,3,2.56347977784662,7
1927-05-22,32,4.57142857142857,5,2.99205296617238,7
1927-05-29,32,4.57142857142857,7,3.50509832753866,7
1927-06-05,24,3.42857142857143,5,2.07019667802706,7
1927-06-12,19,2.71428571428571,2,2.56347977784662,7
1927-06-19,30,4.28571428571429,3,2.42997158517582,7
1927-06-26,24,3.42857142857143,3,3.10145895008263,7
1927-07-03,22,3.14285714285714,2,2.96808419852332,7
1927-07-10,26,3.71428571428571,3,2.49761791275112,7
1927-07-17,33,4.71428571428571,5,2.6903708365382,7
1927-07-24,33,4.71428571428571,5,1.79947082168487,7
1927-07-31,28,4,3,3.1091263510296,7
1927-08-07,25,3.57142857142857,2,3.15473944286703,7
1927-08-14,32,4.57142857142857,3,2.63673679998231,7
1927-08-21,23,3.28571428571429,3,1.70433620649269,7
1927-08-28,24,3.42857142857143,3,2.63673679998231,7
1927-09-04,34,4.85714285714286,3,2.67261241912424,7
1927-09-11,20,2.85714285714286,3,2.54483604112141,7
1927-09-18,22,3.14285714285714,3,1.3451854182691,7
1927-09-25,27,3.85714285714286,3,2.911389784311,7
1927-10-02,32,4.57142857142857,5,2.99205296617238,7
1927-10-09,29,4.14285714285714,3,3.13201593379149,7
1927-10-16,21,3,3,3.36650164612069,7
1927-10-23,35,5,5,2.70801280154532,7
1927-10-30,33,4.71428571428571,5,2.21466970556828,7
1927-11-06,35,5,5,3.05505046330389,7
1927-11-13,34,4.85714285714286,5,2.911389784311,7
1927-11-20,33,4.71428571428571,5,2.75162289775117,7
1927-11-27,31,4.42857142857143,5,2.99205296617238,7
1927-12-04,38,5.42857142857143,7,3.10145895008263,7
1927-12-11,34,4.85714285714286,3,2.96808419852332,7
1927-12-18,40,5.71428571428571,7,2.56347977784662,7
1927-12-25,31,4.42857142857143,5,2.14919697074224,7
1928-01-01,26,3.71428571428571,5,2.42997158517582,7
1928-01-08,33,4.71428571428571,5,2.56347977784662,7
1928-01-15,35,5,5,3.05505046330389,7
1928-01-22,30,4.28571428571429,5,2.49761791275112,7
1928-01-29,39,5.57142857142857,7,2.76026223736942,7
1928-02-05,37,5.28571428571429,7,3.14718316987777,7
1928-02-12,30,4.28571428571429,5,2.1380899352994,7
1928-02-19,33,4.71428571428571,3,2.81154084173819,7
1928-02-26,37,5.28571428571429,5,2.6903708365382,7
1928-03-04,33,4.71428571428571,5,2.6903708365382,7
1928-03-11,20,2.85714285714286,3,2.911389784311,7
1928-03-18,39,5.57142857142857,7,3.10145895008263,7
1928-03-25,20,2.85714285714286,3,2.54483604112141,7
1928-04-01,27,3.85714285714286,3,3.4364987719369,7
1928-04-08,38,5.42857142857143,7,3.10145895008263,7
1928-04-15,25,3.57142857142857,5,2.99205296617238,7
1928-04-22,40,5.71428571428571,7,2.42997158517582,7
1928-04-29,41,5.85714285714286,7,2.19306265517513,7
1928-05-06,34,4.85714285714286,5,1.86445447147161,7
1928-05-13,39,5.57142857142857,5,2.14919697074224,7
1928-05-20,36,5.14285714285714,7,3.02371578407382,7
1928-05-27,40,5.71428571428571,7,3.03942350423485,7
1928-06-03,35,5,5,2.38047614284762,7
1928-06-10,33,4.71428571428571,7,2.98408476836063,7
1928-06-17,41,5.85714285714286,7,2.54483604112141,7
1928-06-24,39,5.57142857142857,8,3.04724700110022,7
1928-07-01,25,3.57142857142857,3,2.5727509827124,7
1928-07-08,24,3.42857142857143,3,2.37045304088641,7
1928-07-15,30,4.28571428571429,5,3.09377254681539,7
1928-07-22,35,5,5,3.05505046330389,7
1928-07-29,25,3.57142857142857,3,3.30943816264649,7
1928-08-05,36,5.14285714285714,5,2.54483604112141,7
1928-08-12,39,5.57142857142857,7,2.43975018237133,7
1928-08-19,38,5.42857142857143,8,3.35942171894424,7
1928-08-26,22,3.14285714285714,2,3.48466026218585,7
1928-09-02,25,3.57142857142857,2,2.07019667802706,7
1928-09-09,45,6.42857142857143,8,2.07019667802706,7
1928-09-16,40,5.71428571428571,7,2.81154084173819,7
1928-09-23,17,2.42857142857143,2,1.51185789203691,7
1928-09-30,33,4.71428571428571,3,2.36038737740833,7
1928-10-07,39,5.57142857142857,7,2.43975018237133,7
1928-10-14,40,5.71428571428571,7,3.30223589477825,7
1928-10-21,38,5.42857142857143,5,2.69920623252731,7
1928-10-28,36,5.14285714285714,5,2.85356919363403,7
1928-11-04,28,4,5,3.87298334620742,7
1928-11-11,19,2.71428571428571,2,2.87020822207993,7
1928-11-18,38,5.42857142857143,7,2.14919697074224,7
1928-11-25,42,6,7,2.44948974278318,7
1928-12-02,41,5.85714285714286,7,2.67261241912424,7
1928-12-09,42,6,8,3.21455025366432,7
1928-12-16,30,4.28571428571429,3,3.03942350423485,7
1928-12-23,20,2.85714285714286,3,1.4638501094228,7
1928-12-30,37,5.28571428571429,5,3.03942350423485,7
1929-01-06,16,2.28571428571429,2,2.36038737740833,7
1929-01-13,39,5.57142857142857,8,3.82348631736111,7
1929-01-20,32,4.57142857142857,5,2.8784916685157,7
1929-01-27,26,3.71428571428571,2,2.62769136406122,7
1929-02-03,33,4.71428571428571,5,2.21466970556828,7
1929-02-10,35,5,5,2.08166599946613,7
1929-02-17,32,4.57142857142857,5,2.69920623252731,7
1929-02-24,38,5.42857142857143,7,2.99205296617238,7
1929-03-03,28,4,2,3.21455025366432,7
1929-03-10,35,5,7,3.2659863237109,7
1929-03-17,24,3.42857142857143,2,3.25868802112869,7
1929-03-24,37,5.28571428571429,7,2.87020822207993,7
1929-03-31,32,4.57142857142857,5,2.37045304088641,7
1929-04-07,32,4.57142857142857,5,3.25868802112869,7
1929-04-14,40,5.71428571428571,7,2.56347977784662,7
1929-04-21,25,3.57142857142857,3,3.20713490294909,7
1929-04-28,36,5.14285714285714,7,3.13201593379149,7
1929-05-05,34,4.85714285714286,3,2.67261241912424,7
1929-05-12,42,6,7,2.76887462097269,7
1929-05-19,19,2.71428571428571,2,2.56347977784662,7
1929-05-26,52,7.42857142857143,8,1.13389341902768,7
1929-06-02,19,2.71428571428571,3,3.03942350423485,7
1929-06-09,29,4.14285714285714,3,2.85356919363403,7
1929-06-16,42,6,7,2.08166599946613,7
1929-06-23,21,3,3,2.44948974278318,7
1929-06-30,31,4.42857142857143,3,3.20713490294909,7
1929-07-07,24,3.42857142857143,2,2.29906813420444,7
1929-07-14,40,5.71428571428571,7,2.21466970556828,7
1929-07-21,31,4.42857142857143,5,2.81999662276056,7
1929-07-28,30,4.28571428571429,5,3.3523268393901,7
1929-08-04,25,3.57142857142857,3,2.8784916685157,7
1929-08-11,35,5,7,3.2659863237109,7
1929-08-18,26,3.71428571428571,3,2.56347977784662,7
1929-08-25,37,5.28571428571429,7,2.87020822207993,7
1929-09-01,34,4.85714285714286,5,3.57903950935496,7
1929-09-08,33,4.71428571428571,5,2.56347977784662,7
1929-09-15,24,3.42857142857143,3,2.07019667802706,7
1929-09-22,38,5.42857142857143,7,2.93582145558064,7
1929-09-29,36,5.14285714285714,7,2.96808419852332,7
1929-10-06,35,5,7,3.2659863237109,7
1929-10-13,22,3.14285714285714,3,2.911389784311,7
1929-10-20,27,3.85714285714286,3,2.911389784311,7
1929-10-27,25,3.57142857142857,3,2.29906813420444,7
1929-11-03,25,3.57142857142857,3,1.81265393434993,7
1929-11-10,38,5.42857142857143,7,2.99205296617238,7
1929-11-17,25,3.57142857142857,3,2.22539456105675,7
1929-11-24,23,3.28571428571429,3,2.9277002188456,7
1929-12-01,25,3.57142857142857,3,1.98805959477601,7
1929-12-08,30,4.28571428571429,3,2.42997158517582,7
1929-12-15,20,2.85714285714286,2,2.26778683805536,7
1929-12-22,33,4.71428571428571,5,3.14718316987777,7
1929-12-29,23,3.28571428571429,2,3.40168025708304,7
1930-01-05,24,3.42857142857143,3,2.07019667802706,7
1930-01-12,30,4.28571428571429,5,3.59231985000806,7
1930-01-19,36,5.14285714285714,5,2.26778683805536,7
1930-01-26,29,4.14285714285714,3,3.13201593379149,7
1930-02-02,30,4.28571428571429,5,1.70433620649269,7
1930-02-09,22,3.14285714285714,2,3.4364987719369,7
1930-02-16,40,5.71428571428571,7,2.42997158517582,7
1930-02-23,36,5.14285714285714,5,2.54483604112141,7
1930-03-02,17,2.42857142857143,2,2.37045304088641,7
1930-03-09,41,5.85714285714286,7,3.13201593379149,7
1930-03-16,25,3.57142857142857,3,2.29906813420444,7
