year,month,day,R,Vis
1932,11,9,4.80000000447035,1.1
1932,11,10,0,0.6
1932,11,12,1.24800000339746,0.5
1932,11,14,0.504000004380941,0.6
1932,11,14,1.48799999803305,0.5
1932,11,14,2.40000000223517,0.2
1932,11,21,1.5840000025928,0.5
1932,11,28,12,0.3
1932,11,30,2.40000000223517,0.4
1932,12,2,2.40000000223517,0.5
1932,12,4,0.216000001877546,0.6
1932,12,4,0.455999996513128,0.5
1932,12,5,0.239999994635582,0.6
1932,12,5,0.743999999016523,0.5
1932,12,7,0.743999999016523,0.6
1932,12,9,1.00799999758601,0.6
1932,12,10,0.504000004380941,0.6
1932,12,13,21.5999999977648,0.3
1932,12,15,2.40000000223517,0.8
1932,12,15,12,0.1
1932,12,26,12,0.3
1932,12,27,0.504000004380941,0.4
1932,12,28,2.40000000223517,0.5
1932,1,1,2.40000000223517,0.5
1932,1,5,14.4000000022352,0.3
1932,1,7,0.432000003755093,0.6
1932,1,9,12,0.3
1932,1,12,0.072000000625849,0.6
1932,1,13,23.5920000001788,0.6
1932,1,19,2.40000000223517,0.9
1932,1,23,19.1999999955297,0.5
1932,1,25,2.40000000223517,0.7
1932,1,25,21.5040000043809,0.5
1932,1,27,2.40000000223517,0.5
1932,1,29,12,0.2
1932,1,31,0.239999994635582,0.6
1932,1,31,23.8319999948144,0.6
1932,2,4,2.40000000223517,0.4
1932,2,4,23.7600000053644,0.5
1932,2,6,12,0.2
1932,2,7,21.5040000043809,0.5
1932,2,9,0.504000004380941,0.3
1932,2,13,12,0.2
1932,2,14,23.9279999993742,0.5
1932,2,23,21.5999999977648,0.4
1932,2,25,0,0.8
1932,2,25,12,0.2
1932,2,27,0,0.8
1932,2,29,21.1680000051856,0.4
1932,3,2,21.5999999977648,0.5
1932,3,4,0,0.5
1932,3,6,19.1999999955297,0.3
1932,3,8,19.1999999955297,0.6
1932,3,9,12,0.3
1932,3,11,0,0.5
1932,3,13,0,0.5
1932,3,25,0,0.5
1932,3,26,2.40000000223517,0.8
1932,3,31,2.40000000223517,0.9
1932,3,31,19.6560000032187,0.6
1932,4,5,2.40000000223517,0.8
1932,4,5,2.40000000223517,0.9
1932,4,9,7.19999999552965,0.8
1933,4,27,4.80000000447035,0.8
1933,5,1,4.80000000447035,0.8
1933,5,1,9.59999999776483,0.2
1933,7,28,7.19999999552965,0.9
1933,7,29,7.19999999552965,0.9
1933,8,6,7.19999999552965,1.1
